gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
other,group A,bachelor's degree,free/reduced,not complete,66,51,68
female,group D,college,free/reduced,not complete,30,76,75
female,group B,college,free/reduced,not complete,95,31,79
male,group B,high school,free/reduced,complete,74,85,43
female,group D,high school,free/reduced,not complete,56,68,58
male,group E,associate's degree,free/reduced,complete,57,97,75
,group E,college,standard,complete,93,54,45
male,group E,associate's degree,standard,complete,48,61,57
male,group B,associate's degree,standard,not complete,88,77,82
male,group B,associate's degree,standard,not complete,55,55,41
male,group B,associate's degree,standard,not complete,55,55,41
male,group C,master's degree,standard,not complete,37,94,85
male,group E,college,standard,not complete,89,87,84
female,group D,associate's degree,free/reduced,complete,98,35,94
female,group D,college,free/reduced,complete,98,96,74
female,group B,college,standard,complete,36,42,41
female,group B,associate's degree,free/reduced,complete,39,34,50
male,group C,college,free/reduced,complete,57,63,56
male,group D,high school,standard,not complete,100,90,31
other,group D,high school,standard,complete,94,94,46
female,group D,,free/reduced,not complete,91,57,54
female,group C,college,free/reduced,not complete,64,90,59
female,group D,associate's degree,standard,not complete,54,86,620
male,group C,high school,standard,complete,55,63,49
female,group E,high school,Free/reduced,not complete,80,55,94
female,group D,bachelor's degree,standard,not complete,372,62,74
male,group A,associate's degree,free/reduced,complete,97,73,100
male,group D,college,free/reduced,complete,34,89,93
female,group A,high school,free/reduced,complete,49,45,75
male,group E,bachelor's degree,free/reduced,complete,53,71,32
male,group E,associate's degree,free/reduced,complete,39,83,31
female,group C,associate's degree,standard,complete,44,69,55
male,group C,bachelor's degree,free/reduced,not complete,62,63,75
female,group E,associate's degree,standard,not complete,89,516,36
female,group E,associate's degree,standard,not complete,89,516,36
male,group A,high school,free/reduced,not complete,67,69,87
undisclosed,group A,associate's degree,free/reduced,not complete,64,84,57
female,group A,high school,standard,complete,94,52,61
female,group E,bachelor's degree,free/reduced,not complete,78,65,84
other,group D,associate's degree,standard,not complete,71,89,83
female,group B,high school,standard,,64,77,37
male,group E,high school,standard,not complete,58,32,95
other,group E,associate's degree,standard,complete,31,64,63
male,group C,high school,Standard,complete,52,45,92
other,group E,college,free/reduced,complete,34,83,33
male,group A,high school,free/reduced,not complete,38,100,84
undisclosed,group C,bachelor's degree,standard,not complete,96,42,32
female,group A,high school,standard,complete,75,41,30
male,group A,master's degree,standard,not complete,84,51,64
male,group C,associate's degree,standard,complete,39,49,36
female,group B,high school,free/reduced,complete,66,73,60
female,group A,college,free/reduced,complete,47,80,46
female,group A,high school,free/reduced,not complete,48,96,60
undisclosed,group D,college,standard,complete,46,88,42
male,group B,associate's degree,free/reduced,complete,48,37,40
,group B,high school,free/reduced,,64,57,92
female,group C,bachelor's degree,standard,complete,34,81,32
female,group D,high school,standard,not complete,88,31,99
female,group C,college,standard,not complete,49,37,74
male,group B,high school,free/reduced,complete,38,32,32
female,group B,college,free/reduced,not complete,47,37,37
female,group C,,free/reduced,complete,98,68,43
female,group B,high school,standard,complete,51,48,51
male,group E,bachelor's degree,standard,not complete,67,52,54
female,group C,high school,free/reduced,complete,35,35,396
male,group D,associate's degree,free/reduced,complete,54,32,73
female,group B,associate's degree,free/reduced,not complete,89,98,32
female,group C,High school,free/reduced,complete,84,65,37
female,group A,associate's degree,standard,complete,93,78,42
female,group B,college,standard,not complete,57,58,72
female,group D,college,standard,not complete,61,84,63
female,group D,associate's degree,free/reduced,complete,39,61,80
male,group C,associate's degree,free/reduced,not complete,31,87,75
male,group B,high school,free/reduced,not complete,74,78,98
male,group C,college,standard,complete,34,57,55
male,group C,bachelor's degree,standard,not complete,59,35,85
male,group C,college,standard,not complete,52,69,63
female,group D,Associate's degree,standard,complete,39,72,62
male,group C,college,standard,not complete,91,60,38
female,group A,high school,free/reduced,not complete,67,63,65
female,group D,high school,free/reduced,complete,76,92,32
female,group D,high school,free/reduced,not complete,30,31,33
male,group B,high school,standard,not complete,62,41,77
undisclosed,group D,high school,standard,not complete,54,80,63
male,group B,high school,free/reduced,complete,83,88,70
female,group B,college,free/reduced,complete,87,68,72
female,group C,high school,free/reduced,not complete,97,64,70
male,group C,high school,standard,not complete,45,36,93
male,group E,associate's degree,free/reduced,complete,39,60,90
male,group B,high school,free/reduced,not complete,77,333,96
male,group D,high school,free/reduced,complete,89,56,30
male,group C,bachelor's degree,free/reduced,complete,69,75,44
female,group B,bachelor's degree,free/reduced,complete,94,32,91
other,group E,associate's degree,free/reduced,complete,69,82,58
male,group D,bachelor's degree,standard,not complete,58,65,70
male,group B,,free/reduced,not complete,33,93,94
male,group E,bachelor's degree,standard,not complete,30,64,72
female,group B,associate's degree,standard,not complete,68,62,53
female,Group A,college,free/reduced,not complete,68,55,63
female,group B,associate's degree,standard,complete,72,39,78
male,group A,,free/reduced,complete,38,50,49
female,group A,high school,free/reduced,complete,69,90,39
female,group C,college,free/reduced,complete,43,44,33
female,group A,high school,standard,complete,82,58,70
,group D,high school,free/reduced,not complete,58,99,78
female,group D,college,free/reduced,not complete,64,70,46
Female,group D,associate's degree,free/reduced,not complete,94,84,48
female,group A,college,free/reduced,complete,90,83,76
male,group D,high school,free/reduced,not complete,77,63,75
female,group B,associate's degree,free/reduced,complete,49,69,729
male,group B,high school,standard,complete,66,97,52
male,group E,master's degree,,not complete,77,82,49
male,group A,bachelor's degree,free/reduced,not complete,88,92,31
female,group E,college,free/reduced,not complete,41,864,78
male,group D,college,free/reduced,complete,65,34,30
male,group B,college,standard,,87,81,51
female,group D,high school,free/reduced,complete,67,91,31
male,group E,high school,free/reduced,complete,95,87,84
male,group D,college,free/reduced,complete,92,56,63
male,group C,associate's degree,free/reduced,not complete,87,62,90
male,group E,College,standard,not complete,45,46,59
female,group E,High school,standard,complete,294,42,97
male,group B,high school,standard,not complete,80,44,34
other,group A,high school,free/reduced,not complete,52,98,41
female,group D,high school,free/reduced,not complete,31,72,64
male,group A,high school,free/reduced,complete,62,44,37
male,group B,college,free/reduced,complete,75,37,66
male,group C,associate's degree,Standard,complete,82,74,40
female,group D,associate's degree,free/reduced,complete,52,44,58
male,group B,high school,standard,complete,69,71,100
female,group E,associate's degree,standard,not complete,78,80,71
female,group C,associate's degree,standard,not complete,67,42,39
female,group A,associate's degree,,complete,97,71,82
female,Group A,college,free/reduced,not complete,66,51,81
male,group B,college,free/reduced,not complete,53,92,65
female,group C,high school,free/reduced,complete,79,81,87
female,group C,associate's degree,free/reduced,complete,66,44,76
male,group D,college,free/reduced,not complete,77,38,30
,group A,college,free/reduced,complete,78,97,64
male,group D,high school,free/reduced,complete,73,58,82
male,group E,high school,standard,not complete,35,91,35
male,group D,college,free/reduced,complete,62,56,464
female,group B,college,free/reduced,not complete,47,54,35
female,group D,bachelor's degree,standard,not complete,79,90,74
female,group B,college,standard,not complete,95,89,93
male,group B,high school,standard,not complete,75,68,94
female,group C,high school,free/reduced,not complete,75,75,49
female,group D,bachelor's degree,standard,not complete,76,36,88
male,group D,college,free/reduced,complete,65,68,100
male,group B,college,free/reduced,complete,100,87,31
other,group D,college,standard,complete,58,52,58
undisclosed,group E,bachelor's degree,free/reduced,complete,38,46,30
undisclosed,group A,college,standard,not complete,38,34,90
female,group B,associate's degree,free/reduced,not complete,49,99,81
male,group A,college,standard,complete,80,54,31
Undisclosed,group A,master's degree,Free/reduced,not complete,76,42,66
male,group A,associate's degree,standard,not complete,78,51,72
female,group D,college,free/reduced,not complete,57,82,37
female,group C,high school,standard,complete,71,37,97
other,group B,high school,standard,not complete,50,81,67
male,group B,college,free/reduced,not complete,63,85,70
male,group D,associate's degree,standard,complete,36,48,50
female,group B,bachelor's degree,free/reduced,not complete,75,74,75
female,,High school,standard,complete,45,79,100
female,group E,high school,free/reduced,complete,88,97,77
female,group A,college,standard,not complete,82,30,49
female,group C,bachelor's degree,free/reduced,complete,60,444444444444444444,95
male,group D,college,free/reduced,complete,48,53,75
female,group A,high school,free/reduced,not complete,59,98,80
female,group E,college,free/reduced,not complete,43,50,96
female,group B,bachelor's degree,standard,complete,83,52,59
male,group B,high school,standard,complete,47,48,54
female,group A,associate's degree,standard,not complete,53,89,53
male,group B,college,free/reduced,not complete,33,59,79
female,group B,associate's degree,free/reduced,not complete,92,91,67
male,group B,master's degree,standard,complete,50,90,74
male,group B,high school,free/reduced,complete,85,98,55
female,group B,college,,not complete,37,39,62
male,group D,associate's degree,free/reduced,complete,72,64,100
female,group B,associate's degree,free/reduced,not complete,90,60,47
male,group E,high school,free/reduced,complete,31,92,85
female,group E,high school,standard,not complete,75,54,740
Female,group A,bachelor's degree,standard,not complete,99,83,92
male,group C,associate's degree,free/reduced,complete,41,53,37
female,group B,college,standard,complete,47,66,98
female,group B,high school,free/reduced,complete,73,93,950
other,group E,college,standard,Not complete,86,41,51
female,group C,college,Free/reduced,not complete,38,85,42
undisclosed,group A,college,standard,complete,41,47,550
female,group E,associate's degree,standard,not complete,69,67,74
male,group D,high school,free/reduced,not complete,59,45,49
male,group D,high school,free/reduced,complete,79,73,61
male,group E,high school,standard,not complete,38,59,75
male,group E,college,standard,complete,34,42,89
female,group B,bachelor's degree,standard,not complete,40,31,85
female,group D,high school,free/reduced,not complete,76,63,60
female,group E,associate's degree,free/reduced,complete,46,43,94
male,group D,high school,free/reduced,not complete,83,45,68
female,group E,high school,standard,complete,94,60,50
female,group E,high school,free/reduced,not complete,67,70,52
female,group A,high school,standard,not complete,47,86,79
female,group C,high school,standard,complete,33,44,30
male,group A,college,standard,not complete,30,60,90
Female,group E,college,standard,not complete,48,54,60
male,group D,,standard,complete,70,40,85
male,group B,college,standard,complete,32,38,78
female,group C,college,Standard,complete,97,88,43
female,group C,,standard,not complete,36,31,54
female,group C,,standard,not complete,36,31,54
female,group B,Bachelor's degree,standard,complete,94,47,60
female,group D,college,standard,not complete,77,94,39
male,group E,college,free/reduced,not complete,32,35,76
other,group B,master's degree,free/reduced,not complete,61,65,88
female,group E,college,standard,complete,56,64,91
undisclosed,group D,associate's degree,free/reduced,not complete,84,52,57
female,group C,bachelor's degree,standard,complete,55,48,65
female,group D,high school,standard,not complete,41,89,92
female,group E,college,free/reduced,not complete,61,68,54
female,group D,associate's degree,free/reduced,not complete,80,51,41
male,group B,high school,free/reduced,not complete,40,99,78
male,group D,college,standard,not complete,98,85,74
female,group E,college,Standard,not complete,31,66,93
female,group B,high school,Standard,complete,33,43,38
female,group C,associate's degree,free/reduced,complete,88,40,83
female,group D,college,free/reduced,complete,48,78,61
female,group D,college,standard,complete,91,35,68
other,group D,associate's degree,,complete,69,81,41
female,group B,associate's degree,standard,not complete,71,49,65
female,group A,high school,standard,complete,71,71,93
male,group A,college,standard,not complete,57,86,64
female,group A,college,standard,complete,96,96,88
male,group E,associate's degree,standard,not complete,86,43,83
male,group A,associate's degree,free/reduced,not complete,64,90,31
female,group A,high school,standard,not complete,44,85,83
male,group E,high school,free/reduced,not complete,80,63,48
male,group D,college,standard,not complete,57,50,31
female,group B,bachelor's degree,free/reduced,not complete,99,69,69
Male,group E,high school,standard,complete,66,55,34
undisclosed,group C,bachelor's degree,free/reduced,not complete,45,37,34
female,group D,bachelor's degree,Standard,complete,33,79,49
female,group D,high school,free/reduced,complete,81,87,75
male,group A,high school,free/reduced,complete,66,33,73
male,group C,college,standard,not complete,79,92,43
male,group C,high school,free/reduced,complete,59,63,97
male,group B,high school,standard,not complete,46,87,90
male,group C,high school,standard,complete,80,97,78
female,group A,college,standard,complete,89,63,96
male,group C,associate's degree,free/reduced,not complete,46,59,91
male,group B,associate's degree,standard,not complete,90,58,55
female,group B,college,standard,complete,41,76,43
female,group C,bachelor's degree,standard,complete,51,61,38
male,group D,high school,free/reduced,complete,72,100,47
male,group B,high school,,,31,34,86
female,group B,high school,standard,complete,94,92,37
male,group E,bachelor's degree,standard,complete,71,73,95
male,group C,college,free/reduced,not complete,57,71,1152
other,group B,college,standard,not complete,70,36,88
female,group E,college,free/reduced,complete,69,51,46
male,group D,associate's degree,standard,complete,45,81,51
female,group E,high school,standard,not complete,55,34,75
female,group A,high school,standard,complete,33,94,44
male,group B,associate's degree,Standard,not complete,58,63,56
,group A,college,standard,complete,71,66,83
female,group E,bachelor's degree,standard,complete,81,68,56
female,group E,master's degree,standard,complete,86,38,44
female,group E,college,standard,not complete,91,74,63
undisclosed,group E,college,standard,not complete,69,90,41
male,group C,college,free/reduced,not complete,60,58,37
male,group B,bachelor's degree,standard,complete,91,60,56
male,group E,college,free/reduced,not complete,84,40,38
female,group E,associate's degree,free/reduced,complete,45,468,33
female,group E,bachelor's degree,standard,complete,61,82,63
undisclosed,group D,associate's degree,free/reduced,complete,68,75,66
female,group E,high school,free/reduced,complete,38,35,59
male,group E,college,standard,not complete,93,36,47
male,group E,college,standard,not complete,93,36,47
,group C,college,free/reduced,complete,83,97,85
female,group C,associate's degree,,not complete,35,43,55
female,group A,college,standard,not complete,47,97,81
male,group A,high school,,complete,68,92,35
male,group C,bachelor's degree,free/reduced,complete,70,88,36
female,group C,high school,free/reduced,not complete,80,97,95
Female,group E,college,standard,not complete,52,47,56
female,group B,college,free/reduced,not complete,56,69,61
female,group A,high school,standard,not complete,37,94,91
female,group D,college,free/reduced,complete,91,98,56
male,group C,bachelor's degree,standard,not complete,50,39,44
male,,associate's degree,free/reduced,complete,78,59,92
female,group A,bachelor's degree,standard,complete,43,429,95
female,group C,high school,free/reduced,complete,70,39,96
male,group E,high school,Free/reduced,not complete,64,54,95
female,group B,high school,free/reduced,not complete,43,69,95
Male,group A,college,free/reduced,complete,47,33,62
female,group C,high school,free/reduced,not complete,43,92,54
female,group C,bachelor's degree,free/reduced,complete,30,90,32
male,group A,college,free/reduced,not complete,87,91,64
female,group D,college,standard,complete,32,52,63
male,group D,college,free/reduced,complete,374,34,50
female,group B,high school,standard,complete,57,32,60
male,group D,high school,free/reduced,,35,81,86
male,group B,college,standard,complete,64,81,87
Undisclosed,group A,college,free/reduced,complete,57,36,66
undisclosed,group C,associate's degree,free/reduced,complete,46,57,80
,group B,bachelor's degree,free/reduced,not complete,46,42,34
female,group C,college,free/reduced,complete,66,47,81
male,group A,high school,free/reduced,not complete,47,45,75
male,Group C,high school,free/reduced,not complete,72,100,85
male,,associate's degree,free/reduced,complete,52,55,63
female,group D,associate's degree,free/reduced,complete,35,94,55
male,group D,bachelor's degree,free/reduced,not complete,80,87,55
other,group A,associate's degree,free/reduced,complete,83,344,37
female,group C,associate's degree,standard,not complete,82,49,66
female,group D,associate's degree,standard,not complete,35,86,64
female,group D,,standard,complete,51,38,65
male,group B,associate's degree,free/reduced,not complete,50,32,49
male,group B,high school,free/reduced,not complete,54,72,35
male,group B,bachelor's degree,free/reduced,complete,82,57,33
male,Group B,master's degree,standard,complete,46,37,49
male,group B,college,free/reduced,not complete,44,97,45
male,group E,associate's degree,free/reduced,not complete,89,98,75
undisclosed,group B,high school,standard,complete,62,79,44
female,group B,college,standard,complete,32,75,41
female,group C,high school,standard,not complete,76,61,100
male,group D,high school,standard,not complete,79,74,95
female,group B,high school,free/reduced,not complete,60,70,43
female,group E,college,free/reduced,complete,51,55,54
female,group C,high school,standard,complete,96,43,46
female,group C,college,free/reduced,complete,82,56,71
female,group D,high school,standard,,96,95,31
male,group B,college,free/reduced,not complete,92,41,39
male,group C,college,standard,complete,81,83,53
female,group D,bachelor's degree,standard,not complete,72,97,52
other,group D,high school,free/reduced,complete,100,38,99
female,group A,high school,free/reduced,not complete,70,46,30
female,Group D,high school,free/reduced,complete,48,92,37
female,group E,bachelor's degree,free/reduced,not complete,96,63,37
male,group C,bachelor's degree,free/reduced,complete,50,45,64
female,group D,master's degree,free/reduced,complete,53,66,32
female,group D,master's degree,free/reduced,complete,53,66,32
female,group B,high school,free/reduced,complete,38,100,42
female,group D,college,,complete,80,87,99
male,group D,college,standard,complete,44,38,42
undisclosed,group D,college,free/reduced,,98,46,45
male,group E,master's degree,standard,not complete,85,40,71
undisclosed,group A,college,standard,complete,47,31,32
female,Group B,college,free/reduced,complete,98,75,90
female,group C,college,free/reduced,not complete,86,75,53
male,Group A,high school,free/reduced,not complete,96,41,93
male,group C,high school,standard,not complete,76,55,72
male,group C,college,free/reduced,complete,88,40,49
male,group C,college,free/reduced,complete,88,40,49
female,group D,high school,free/reduced,complete,42,75,65
female,group B,college,free/reduced,complete,84,65,80
female,group C,bachelor's degree,standard,not complete,92,55,38
Female,Group A,high school,free/reduced,complete,41,52,54
female,group C,college,standard,complete,99,34,32
female,group D,college,free/reduced,complete,73,98,90
male,group A,high school,standard,not complete,48,78,91
female,group C,associate's degree,standard,not complete,3030303030303030,30,43
undisclosed,group C,college,free/reduced,not complete,86,75,91
,group B,college,standard,complete,79,50,42
female,group D,bachelor's degree,free/reduced,complete,39,32,60
female,group E,high school,free/reduced,complete,57,59,83
male,group C,bachelor's degree,standard,complete,71,71,63
male,group E,college,free/reduced,not complete,61,98,88
female,group C,associate's degree,standard,complete,42,87,79
female,group A,college,standard,not complete,85,75,30
female,group E,college,,not complete,55,47,63
female,group E,college,,not complete,55,47,63
male,group D,college,standard,complete,88,49,86
female,group D,college,free/reduced,not complete,87,35,79
male,group B,college,standard,not complete,68,62,83
undisclosed,group B,associate's degree,standard,not complete,46,88,80
female,group B,master's degree,standard,complete,60,59,70
female,group B,associate's degree,free/reduced,complete,72,85,75
other,group C,college,standard,not complete,50,73,80
female,group C,Bachelor's degree,free/reduced,not complete,45,31,92
male,group D,bachelor's degree,standard,complete,48,33,67
male,group B,master's degree,standard,complete,63,91,73
male,group A,college,standard,not complete,57,39,42
female,group D,bachelor's degree,free/reduced,complete,75,64,87
undisclosed,group A,associate's degree,standard,not complete,31,68,75
undisclosed,group B,high school,free/reduced,not complete,95,444,60
female,group D,high school,standard,not complete,82,96,71
female,group D,master's degree,standard,not complete,80,63,84
male,group B,bachelor's degree,standard,complete,59,72,68
Female,group E,bachelor's degree,free/reduced,not complete,79,60,73
male,group A,high school,free/reduced,complete,33,45,79
male,group B,bachelor's degree,free/reduced,not complete,88,35,88
undisclosed,group D,bachelor's degree,standard,complete,49,52,100
other,group D,bachelor's degree,standard,not complete,35,69,31
male,Group C,bachelor's degree,Free/reduced,complete,53,638,49
male,group C,college,standard,complete,50,41,31
female,group C,bachelor's degree,free/reduced,complete,97,91,99
female,group E,high school,standard,not complete,41,99,69
male,group D,associate's degree,standard,not complete,33,42,312
female,group A,college,standard,complete,97,36,87
female,group E,high school,standard,complete,79,89,71
male,group C,associate's degree,standard,complete,99,98,47
female,group D,master's degree,standard,not complete,91,89,79
male,group B,college,free/reduced,complete,47,56,92
undisclosed,group D,college,standard,not complete,48,48,47
male,group B,associate's degree,standard,complete,80,87,51
female,group C,college,standard,complete,86,50,30
male,group B,bachelor's degree,standard,complete,62,58,100
other,group D,high school,free/reduced,not complete,42,49,73
male,group A,college,free/reduced,complete,57,63,55
,group D,associate's degree,standard,not complete,65,52,97
female,group A,high school,standard,not complete,42,30,95
male,group E,,free/reduced,complete,40,48,54
male,group B,bachelor's degree,standard,not complete,60,42,64
female,group D,associate's degree,standard,complete,87,65,31
Male,group B,high school,standard,complete,32,44,67
female,group C,college,free/reduced,Complete,30,86,74
male,group D,college,free/reduced,complete,45,92,44
male,group D,associate's degree,standard,complete,73,93,61
female,group D,high school,standard,not complete,59,91,65
female,group A,college,free/reduced,complete,55,37,38
female,group A,high school,standard,not complete,67,97,82
female,group D,bachelor's degree,standard,not complete,76,85,39
female,group B,associate's degree,free/reduced,not complete,93,38,46
female,Group A,high school,standard,complete,68,85,87
male,group A,bachelor's degree,free/reduced,not complete,96,58,84
female,group C,college,free/reduced,complete,96,57,39
undisclosed,group B,high school,standard,not complete,52,79,49
male,group E,high school,free/reduced,not complete,82,67,68
female,group A,high school,standard,not complete,47,71,72
female,group D,college,standard,complete,86,46,504
male,group E,bachelor's degree,standard,complete,42,95,75
undisclosed,group C,associate's degree,free/reduced,complete,38,54,45
female,group E,associate's degree,free/reduced,complete,57,91,55
Female,group A,bachelor's degree,free/reduced,not complete,85,62,50
female,group D,associate's degree,Standard,complete,91,70,30
male,group C,high school,standard,not complete,34,38,49
undisclosed,group E,Associate's degree,free/reduced,not complete,31,43,34
male,group A,college,standard,complete,71,57,55
female,group E,bachelor's degree,standard,not complete,40,86,100
female,group B,associate's degree,free/reduced,not complete,90,35,99
undisclosed,group D,master's degree,standard,not complete,41,97,50
male,group E,college,free/reduced,complete,52,34,41
male,group A,college,free/reduced,not complete,84,38,33
male,group E,associate's degree,standard,not complete,68,96,64
female,group C,associate's degree,free/reduced,not complete,54,82,73
female,group A,college,standard,not complete,96,40,82
undisclosed,group B,associate's degree,standard,complete,76,45,40
male,group D,high school,free/reduced,not complete,38,75,31
male,group C,college,standard,complete,59,66,72
female,group B,high school,,not complete,43,72,60
female,group C,high school,free/reduced,not complete,48,33,50
male,group D,associate's degree,standard,not complete,72,75,39
male,group C,college,free/reduced,not complete,72,90,91
female,group B,master's degree,standard,not complete,99,44,96
female,group D,associate's degree,free/reduced,not complete,96,95,90
Female,group A,college,standard,not complete,64,70,39
female,,college,free/reduced,complete,92,92,37
female,group C,,free/reduced,,57,85,37
female,group E,high school,standard,not complete,43,31,95
female,group E,associate's degree,free/reduced,complete,43,79,42
male,group D,bachelor's degree,standard,not complete,86,69,75
female,group A,bachelor's degree,standard,not complete,61,84,86
male,group E,college,free/reduced,not complete,76,84,69
female,group C,college,standard,not complete,37,82,58
female,group A,associate's degree,standard,not complete,82,54,94
female,,college,standard,complete,49,330,90
female,group E,college,free/reduced,not complete,40,79,86
female,group D,associate's degree,standard,complete,84,62,86
male,group B,bachelor's degree,free/reduced,complete,71,80,58
female,group D,college,Free/reduced,not complete,33,77,49
female,group E,bachelor's degree,free/reduced,complete,67,42,55
male,group A,high school,standard,not complete,89,79,54
female,Group D,high school,free/reduced,complete,58,56,86
female,group C,college,standard,not complete,49,81,36
male,group B,bachelor's degree,free/reduced,not complete,56,49,79
male,group A,associate's degree,standard,complete,35,38,75
male,group C,bachelor's degree,free/reduced,not complete,38,90,67
male,group B,bachelor's degree,free/reduced,complete,92,48,38
female,group A,college,free/reduced,not complete,87,34,58
female,group A,college,free/reduced,not complete,87,34,58
male,group D,Associate's degree,standard,not complete,47,77,53
female,group A,high school,free/reduced,complete,70,94,95
male,group D,high school,free/reduced,complete,43,78,30
female,group E,associate's degree,standard,not complete,63,42,55
other,group A,college,standard,not complete,65,81,97
male,group B,high school,free/reduced,complete,53,97,83
male,group B,master's degree,free/reduced,not complete,94,91,99
,group C,college,,not complete,78,36,35
female,group B,associate's degree,standard,not complete,80,85,47
undisclosed,group A,high school,standard,not complete,86,76,73
male,group A,high school,free/reduced,complete,41,93,80
male,group E,college,standard,not complete,63,44,39
other,group C,college,free/reduced,complete,97,40,58
male,group D,associate's degree,free/reduced,complete,54,81,89
female,group A,associate's degree,standard,complete,49,91,100
female,group C,bachelor's degree,standard,not complete,52,96,51
male,group C,College,standard,not complete,54,93,31
,group A,associate's degree,free/reduced,complete,40,78,83
undisclosed,group C,high school,standard,complete,68,90,50
male,group C,high school,standard,complete,36,57,89
female,group B,associate's degree,,complete,49,48,84
male,group D,high school,standard,complete,71,93,47
male,group B,high school,standard,not complete,94,81,88
male,Group A,college,free/reduced,not complete,67,82,82
male,Group A,college,free/reduced,not complete,67,82,82
male,group B,associate's degree,standard,not complete,87,94,51
female,group A,associate's degree,standard,not complete,100,63,77
male,group E,high school,free/reduced,complete,90,39,68
female,group A,college,free/reduced,complete,53,37,48
male,group E,high school,free/reduced,not complete,76,93,94
female,group C,associate's degree,standard,not complete,80,72,56
undisclosed,group D,college,free/reduced,complete,44,83,86
male,group C,high school,free/reduced,complete,100,52,63
female,group A,high school,standard,not complete,74,97,61
female,group C,bachelor's degree,free/reduced,complete,69,41,31
male,group E,associate's degree,standard,complete,61,71,47
Male,group A,bachelor's degree,standard,complete,76,58,93
female,group C,high school,standard,not complete,62,63,77
female,group E,college,free/reduced,complete,96,80,40
female,group C,associate's degree,free/reduced,complete,92,70,40
male,group A,high school,free/reduced,complete,84,58,34
female,group E,associate's degree,standard,complete,99,89,81
male,group B,college,standard,not complete,79,77,97
female,group C,college,free/reduced,complete,67,80,61
male,group A,master's degree,standard,not complete,36,99,64
female,group E,master's degree,standard,not complete,61,48,41
female,,master's degree,free/reduced,Complete,83,72,100
male,group C,college,free/reduced,Not complete,83,61,33
female,group B,high school,standard,Not complete,49,31,91
female,group C,bachelor's degree,standard,not complete,85,65,93
female,group D,college,Free/reduced,complete,38,45,42
female,group E,college,standard,complete,32,98,30
male,group A,high school,free/reduced,complete,33,60,87
male,group C,associate's degree,free/reduced,complete,74,96,34
male,group D,High school,standard,not complete,86,69,45
female,group C,college,standard,not complete,64,73,64
male,group D,high school,standard,complete,195,39,96
male,group D,college,standard,not complete,34,41,40
female,group D,college,standard,complete,78,95,33
male,group A,college,free/reduced,complete,63,70,60
male,group A,high school,free/reduced,not complete,53,30,47
female,group A,bachelor's degree,free/reduced,not complete,64,77,71
female,group D,college,standard,complete,44,56,56
male,group E,master's degree,,not complete,80,55,75
male,Group C,high school,standard,not complete,74,92,38
female,group A,high school,standard,complete,35,45,99
female,group A,high school,standard,complete,35,45,99
Other,group D,college,free/reduced,complete,70,71,67
male,group E,college,standard,not complete,34,66,62
female,group A,high school,standard,,56,91,65
male,group C,high school,free/reduced,not complete,63,61,85
male,group A,college,free/reduced,not complete,72,61,98
undisclosed,group E,,standard,,64,63,31
female,group A,college,free/reduced,Not complete,67,43,32
other,group E,bachelor's degree,free/reduced,not complete,616,88,85
female,group A,college,free/reduced,not complete,86,46,74
female,group B,high school,standard,complete,50,35,93
male,group E,bachelor's degree,free/reduced,complete,78,91,63
female,group B,college,standard,complete,57,52,97
male,group B,associate's degree,free/reduced,complete,53,32,73
female,group E,college,free/reduced,not complete,46,77,45
other,group C,master's degree,standard,complete,434343434343434343,43,61
female,group C,High school,free/reduced,complete,84,69,48
female,group C,associate's degree,free/reduced,not complete,93,81,61
other,group A,high school,standard,complete,87,77,100
,group D,college,free/reduced,complete,51,44,51
male,group E,college,standard,not complete,50,31,46
female,group B,college,standard,complete,78,80,42
female,group B,college,standard,complete,78,80,42
female,group C,bachelor's degree,free/reduced,not complete,85,43,61
other,group A,bachelor's degree,standard,complete,100,89,81
female,group D,college,free/reduced,not complete,31,66,86
male,group D,bachelor's degree,standard,not complete,97,87,34
male,group A,high school,free/reduced,complete,73,83,94
male,group A,college,free/reduced,complete,46,56,62
female,group C,,standard,not complete,79,74,42
female,group B,associate's degree,standard,complete,38,77,76
male,group A,high school,free/reduced,not complete,44,91,54
male,group A,college,standard,complete,62,57,58
female,group E,associate's degree,free/reduced,not complete,51,42,65
male,group D,high school,standard,not complete,49,45,44
other,group D,master's degree,standard,complete,37,48,43
male,group C,college,free/reduced,complete,69,93,84
male,group E,high school,free/reduced,complete,53,86,94
male,group C,high school,free/reduced,complete,99,95,45
male,Group D,bachelor's degree,free/reduced,not complete,64,54,100
male,group A,college,free/reduced,complete,47,69,32
male,group B,,standard,complete,560,80,75
male,group E,college,standard,complete,79,87,73
female,group B,college,standard,complete,42,38,98
male,group A,college,standard,complete,80,86,37
male,group B,college,standard,complete,69,69,70
male,group D,,standard,complete,52,95,70
male,group D,master's degree,free/reduced,not complete,49,82,41
Female,group D,high school,standard,not complete,42,62,45
female,group E,associate's degree,free/reduced,not complete,59,84,33
female,group B,high school,free/reduced,complete,58,62,56
male,group D,college,standard,complete,88,82,65
male,group A,college,standard,not complete,84,47,50
female,group B,associate's degree,standard,not complete,82,75,34
female,group B,high school,standard,complete,45,69,90
female,group C,college,standard,,46,74,92
female,group A,associate's degree,standard,complete,97,61,91
male,group E,high school,standard,not complete,61,66,79
female,group E,high school,standard,not complete,67,85,31
